model,system,input,output,batch,prefill_latency(ms),decode_latency(ms),decode_throughput(tok/s),e2e_latency(ms),e2e_throughput(tok/s),TPOT(ms/token),total_energy(J),energy_per_token(mJ),tokens_per_J
MISTRAL-7B,H100,512,512,8,86.106,4485.2,913.2257201462588,4579.4,1788.8806393850725,1.09501953125,2564.464,626.08984375,1.5972148565938147
MISTRAL-7B,H100,512,1024,8,117.68,8953.1,914.9903385419575,9096.1,1350.908631171601,1.09290771484375,5093.816,621.8037109375,1.6082245609185728
MISTRAL-7B,H100,512,2048,8,61.353,18131.0,903.6456897027191,18281.0,1120.2888244625567,1.10662841796875,10237.36,624.8388671875,1.600412606375081
MISTRAL-7B,H100,1024,32,8,182.92,385.7,663.7282862328235,573.37,14733.94143397806,1.506640625,321.0872,1254.246875,0.7972912031373409
MISTRAL-7B,H100,1024,64,8,86.108,765.0,669.281045751634,922.39,9436.355554591875,1.494140625,516.5383999999999,1008.8640624999998,0.991213818759651
MISTRAL-7B,H100,1024,128,8,51.537,1352.2,757.2844253808607,1458.7,6317.954342908069,1.3205078125,816.872,797.7265625,1.253562369624617
MISTRAL-7B,H100,1024,256,8,150.54,2373.0,863.0425621576064,2529.7,4047.910819464759,1.15869140625,1416.632,691.71484375,1.4456824355231281
MISTRAL-7B,H100,1024,512,8,86.303,4695.2,872.3803032884648,4789.2,2565.772989225758,1.1462890625,2681.952,654.7734375,1.527245826920094
MISTRAL-7B,H100,1024,1024,8,148.44,9359.1,875.2978384673739,9519.1,1721.171119118404,1.14246826171875,5330.696,650.7197265625,1.5367599277842894
MISTRAL-7B,H100,1024,2048,8,212.64,18784.0,872.2316865417376,19036.0,1291.0275267913428,1.146484375,10660.16,650.64453125,1.5369375318944556
MISTRAL-7B,H100,2048,32,8,285.15,563.05,454.66654826391976,867.46,19182.440688907845,2.1994140625,485.7776,1897.5687500000001,0.5269901288161496
MISTRAL-7B,H100,2048,64,8,154.63,989.03,517.6789379493039,1163.4,14522.94997421351,1.93169921875,651.504,1272.46875,0.785873916353545
MISTRAL-7B,H100,2048,128,8,350.68,1370.2,747.3361553057947,1733.8,10040.37374553005,1.3380859375,970.928,948.171875,1.0546611077237447
MISTRAL-7B,H100,2048,256,8,284.67,2583.7,792.6616867283354,2874.8,6411.576457492694,1.261572265625,1609.888,786.078125,1.2721381860104555
MISTRAL-7B,H100,2048,512,8,77.16,5175.6,791.4058273436896,5323.7,3846.9485508199186,1.26357421875,2981.272,727.849609375,1.3739101967213996
MISTRAL-7B,H100,2048,1024,8,284.51,9642.5,849.572206378014,9939.1,2472.6584902053505,1.17706298828125,5565.896,679.4306640625,1.4718205298841374
MISTRAL-7B,H100,2048,2048,8,348.73,19471.0,841.4565250885933,19840.0,1651.6129032258063,1.18841552734375,11110.4,678.125,1.4746543778801844
MISTRAL-7B,H100,32,32,16,49.992,291.1,1758.845757471659,423.84,2416.0060400151,0.5685546875,237.3504,463.575,2.157148250013482
MISTRAL-7B,H100,32,64,16,50.861,564.25,1814.7984049623394,716.11,2144.9218695451814,0.551025390625,401.02160000000003,391.62265625000003,2.5534784161252158
MISTRAL-7B,H100,32,128,16,50.262,1114.9,1836.9360480760604,1170.5,2187.0995301153353,0.544384765625,655.48,320.05859375,3.124427900164765
MISTRAL-7B,H100,32,256,16,50.01,2223.1,1842.4722234717287,2352.9,1958.4342725997703,0.5427490234375,1317.624,321.685546875,3.108625829523445
MISTRAL-7B,H100,32,512,16,49.576,4483.0,1827.3477581976356,4540.6,1916.9272783332597,0.5472412109375,2542.736,310.392578125,3.2217265182071597
MISTRAL-7B,H100,32,1024,16,50.092,9131.0,1794.327017851276,9263.6,1823.9129496092232,0.55731201171875,5187.616,316.626953125,3.1582908218341528
MISTRAL-7B,H100,32,2048,16,49.942,18810.0,1742.0520999468367,18954.0,1755.829903978052,0.57403564453125,10614.24,323.9208984375,3.087173457543828
MISTRAL-7B,H100,64,32,16,49.674,306.99,1667.8067689501286,375.63,4089.130261161249,0.59958984375,210.3528,410.8453125,2.434006107834077
MISTRAL-7B,H100,64,64,16,50.713,578.51,1770.0644759814006,634.27,3228.90882431772,0.564951171875,355.19120000000004,346.86640625,2.882954307426535
MISTRAL-7B,H100,64,128,16,50.514,1137.5,1800.4395604395604,1196.9,2566.6304620269025,0.555419921875,670.264,327.27734375,3.055512454793932
MISTRAL-7B,H100,64,256,16,50.452,2257.2,1814.6376041112885,2314.3,2212.3320226418355,0.55107421875,1296.008,316.408203125,3.160474318059765
MISTRAL-7B,H100,64,512,16,50.982,4487.2,1825.637368514887,4595.4,2005.4837446141796,0.54775390625,2573.424,314.138671875,3.183307531133618
MISTRAL-7B,H100,64,1024,16,50.538,9416.9,1739.8506939651054,9479.5,1836.3837755155862,0.574761962890625,5308.52,324.00634765625,3.086359286580817
MISTRAL-7B,H100,64,2048,16,50.637,19053.0,1719.8341468535139,19123.0,1767.0867541703708,0.581451416015625,10708.88,326.80908203125,3.059890483411898
MISTRAL-7B,H100,128,32,16,48.873,332.97,1537.676066912935,386.75,6619.263089851325,0.65033203125,216.58,423.0078125,2.3640225320897588
