model,system,batch,lin,lout,prefill_latency(ms),decode_latency(ms),e2e_latency(ms),comp_pct,comm_pct,queue_pct,decode_throughput(tok/s),total_energy(J)
MISTRAL-7B,DDR5-M4-R4-C8-8-A2,1,2048,2048,855.137,3256.253,4111.39,70.17,8.82,21.0,628.94,438.94
MISTRAL-7B,DDR5-M4-R4-C8-8-A2,4,2048,2048,3093.926,4288.087,7382.013,56.54,15.22,28.24,1910.41,765.69
MISTRAL-7B,DDR5-M4-R4-C8-8-A2,8,128,128,344.779,234.737,579.516,54.72,22.27,23.01,4362.33,54.55
MISTRAL-7B,DDR5-M4-R4-C8-8-A2,1,2048,128,855.137,196.127,1051.264,55.23,30.66,14.11,652.64,85.13
MISTRAL-7B,DDR5-M4-R4-C8-8-A2,8,128,2048,344.779,4295.488,4640.267,60.48,4.97,34.55,3814.23,523.95
MISTRAL-7B,DDR5-M4-R4-C8-8-A2,4,128,2048,170.114,3783.584,3953.698,68.78,2.58,28.64,2165.14,474.92
MISTRAL-7B,DDR5-M4-R4-C8-8-A2,4,128,128,170.114,218.859,388.973,61.23,15.83,22.95,2339.41,40.45
MISTRAL-7B,DDR5-M4-R4-C8-8-A2,1,128,128,42.492,185.331,227.824,68.84,7.62,23.53,690.66,25.46
LLAMA2-7B,DDR5-M4-R4-C4-8-A2,8,2048,2048,9468.735,15113.866,24582.601,37.86,9.63,52.51,1084.04,1360.98
LLAMA2-7B,DDR5-M4-R4-C4-8-A2,4,2048,2048,4734.347,10412.901,15147.249,46.31,7.77,45.93,786.72,873.5
LLAMA2-7B,DDR5-M4-R4-C4-8-A2,1,2048,2048,1247.885,6826.656,8074.54,61.78,4.12,34.1,300.0,454.1
LLAMA2-7B,DDR5-M4-R2-C4-8-A2,4,2048,2048,7986.207,19926.409,27912.616,47.85,4.55,47.6,411.11,818.27
LLAMA2-7B,DDR5-M4-R2-C4-8-A2,8,2048,2048,15972.454,28847.426,44819.88,39.55,5.69,54.76,567.95,1256.57
LLAMA2-7B,DDR5-M4-R2-C4-8-A2,1,2048,2048,1996.546,13042.725,15039.271,65.24,2.38,32.38,157.02,441.53
LLAMA2-7B,DDR5-M4-R4-C16-8-A2,4,2048,2048,2112.967,2836.065,4949.031,43.56,23.9,32.54,2888.51,957.13
LLAMA2-7B,DDR5-M4-R4-C16-8-A2,8,2048,2048,4222.339,4060.777,8283.116,33.98,28.46,37.56,4034.7,1473.57
LLAMA2-7B,DDR5-M4-R4-C16-8-A2,1,2048,2048,559.797,2097.951,2657.748,65.91,13.02,21.07,976.19,511.23
LLAMA2-7B,H100,1,32,32,37.334,243.41,339.86,0.0,0.0,0.0,131.4654287005464,190.3216
LLAMA2-7B,H100,1,32,64,34.036,489.62,608.94,0.0,0.0,0.0,130.71361463992483,341.00640000000004
LLAMA2-7B,H100,1,32,128,34.705,982.48,1060.1,0.0,0.0,0.0,130.28255028092175,593.656
LLAMA2-7B,H100,1,32,256,33.47,1980.4,2019.1,0.0,0.0,0.0,129.26681478489195,1130.696
LLAMA2-7B,H100,1,32,512,32.817,4005.7,4046.2,0.0,0.0,0.0,127.81785955014104,2265.872
LLAMA2-7B,H100,1,32,1024,35.066,7919.2,8027.6,0.0,0.0,0.0,129.3059905040913,4495.456
LLAMA2-7B,H100,1,32,2048,32.826,16000.0,16049.0,0.0,0.0,0.0,128.0,8987.44
LLAMA2-7B,H100,1,32,3584,33.129,28390.0,28446.0,0.0,0.0,0.0,126.24163437830222,15929.76
LLAMA2-7B,H100,1,32,4064,33.992,32357.0,32420.0,0.0,0.0,0.0,125.5987885156226,18155.2
LLAMA2-7B,H100,1,64,32,34.868,239.03,363.71,0.0,0.0,0.0,133.8744090699912,203.6776
LLAMA2-7B,H100,1,64,64,34.573,486.9,525.95,0.0,0.0,0.0,131.44382830149928,294.532
LLAMA2-7B,H100,1,64,128,34.306,989.69,1028.7,0.0,0.0,0.0,129.33342763895766,576.072
LLAMA2-7B,H100,1,64,256,35.161,1989.6,2118.0,0.0,0.0,0.0,128.6690792119019,1186.08
LLAMA2-7B,H100,1,64,512,35.255,3969.2,4075.2,0.0,0.0,0.0,128.9932480096745,2282.112
LLAMA2-7B,H100,1,64,1024,33.171,7979.3,8022.4,0.0,0.0,0.0,128.33205920318824,4492.544
LLAMA2-7B,H100,1,64,2048,34.569,16036.0,16155.0,0.0,0.0,0.0,127.71264654527312,9046.8
LLAMA2-7B,H100,1,64,3584,34.276,962.01,1001.2,0.0,0.0,0.0,3725.532998617478,560.672
LLAMA2-7B,H100,1,128,32,34.514,243.19,318.32,0.0,0.0,0.0,131.5843579094535,178.2592
LLAMA2-7B,H100,1,128,64,33.818,490.03,528.9,0.0,0.0,0.0,130.60424871946617,296.184
LLAMA2-7B,H100,1,128,128,33.655,631.94,670.69,0.0,0.0,0.0,202.5508750830775,375.5864
LLAMA2-7B,H100,1,128,256,35.384,1976.0,2084.6,0.0,0.0,0.0,129.55465587044534,1167.376
LLAMA2-7B,H100,1,128,512,34.628,3976.9,4018.2,0.0,0.0,0.0,128.74349367597878,2250.192
LLAMA2-7B,H100,1,128,1024,34.542,8044.1,8090.7,0.0,0.0,0.0,127.2982682960182,4530.792
LLAMA2-7B,H100,1,128,2048,34.121,16169.0,16260.0,0.0,0.0,0.0,126.66213123879028,9105.6
LLAMA2-7B,H100,1,128,3584,35.339,28497.0,28627.0,0.0,0.0,0.0,125.76762466224515,16031.12
LLAMA2-7B,H100,1,256,32,34.03,241.94,280.84,0.0,0.0,0.0,132.26419773497562,157.2704
LLAMA2-7B,H100,1,256,64,34.611,489.92,559.7,0.0,0.0,0.0,130.63357282821684,313.432
LLAMA2-7B,H100,1,256,128,34.586,976.83,1053.9,0.0,0.0,0.0,131.03610658968296,590.184
LLAMA2-7B,H100,1,256,256,34.094,1995.4,2035.8,0.0,0.0,0.0,128.2950786809662,1140.048
LLAMA2-7B,H100,1,256,512,34.029,4007.4,4048.8,0.0,0.0,0.0,127.76363727104857,2267.328
LLAMA2-7B,H100,1,256,1024,35.194,8008.7,8099.3,0.0,0.0,0.0,127.86095121555309,4535.608
LLAMA2-7B,H100,1,256,2048,34.644,16071.0,16121.0,0.0,0.0,0.0,127.43450936469416,9027.76
LLAMA2-7B,H100,1,256,3584,34.151,28524.0,28625.0,0.0,0.0,0.0,125.6485766372178,16030.0
LLAMA2-7B,H100,1,512,32,33.32,248.84,287.21,0.0,0.0,0.0,128.59668863526764,160.83759999999998
LLAMA2-7B,H100,1,512,64,33.135,494.1,532.64,0.0,0.0,0.0,129.5284355393645,298.2784
LLAMA2-7B,H100,1,512,128,33.539,997.23,1039.7,0.0,0.0,0.0,128.35554485926014,582.232
LLAMA2-7B,H100,1,512,256,33.781,977.95,1020.0,0.0,0.0,0.0,261.77207423692414,571.2
LLAMA2-7B,H100,1,512,512,33.335,3976.2,4017.0,0.0,0.0,0.0,128.7661586439314,2249.52
LLAMA2-7B,H100,1,512,1024,33.876,8006.3,8073.8,0.0,0.0,0.0,127.89927931753743,4521.328
LLAMA2-7B,H100,1,512,2048,33.672,16130.0,16191.0,0.0,0.0,0.0,126.96838189708618,9066.96
LLAMA2-7B,H100,1,512,3584,32.93,28614.0,28670.0,0.0,0.0,0.0,125.25337247501224,16055.2
LLAMA2-7B,H100,1,1024,32,45.522,251.2,301.65,0.0,0.0,0.0,127.38853503184714,168.924
LLAMA2-7B,H100,1,1024,64,45.769,498.35,548.5,0.0,0.0,0.0,128.42379853516604,307.16
LLAMA2-7B,H100,1,1024,128,45.779,1002.3,1052.9,0.0,0.0,0.0,127.70627556619776,589.624
LLAMA2-7B,H100,1,1024,256,45.049,1997.6,2049.0,0.0,0.0,0.0,128.15378454144974,1147.44
LLAMA2-7B,H100,1,1024,512,47.064,3998.8,4115.0,0.0,0.0,0.0,128.03841152345703,2304.4
LLAMA2-7B,H100,1,1024,1024,44.959,8035.7,8090.9,0.0,0.0,0.0,127.4313376557114,4530.904
LLAMA2-7B,H100,1,1024,2048,46.05,16255.0,16317.0,0.0,0.0,0.0,125.9920024607813,9137.52
LLAMA2-7B,H100,1,2048,32,75.211,255.6,335.16,0.0,0.0,0.0,125.19561815336463,187.6896
LLAMA2-7B,H100,1,2048,64,76.957,508.41,680.48,0.0,0.0,0.0,125.88265376369463,381.0688
LLAMA2-7B,H100,1,2048,128,75.214,1017.3,1097.9,0.0,0.0,0.0,125.82325764277992,614.824
LLAMA2-7B,H100,1,2048,256,74.301,2036.9,2134.6,0.0,0.0,0.0,125.68118218861996,1195.376
LLAMA2-7B,H100,1,2048,512,74.602,4075.5,4157.8,0.0,0.0,0.0,125.62875720770458,2328.368
LLAMA2-7B,H100,1,2048,1024,74.219,8173.6,8333.7,0.0,0.0,0.0,125.28139375550552,4666.872
LLAMA2-7B,H100,1,2048,2048,74.499,16295.0,16394.0,0.0,0.0,0.0,125.682724762197,9180.64
LLAMA2-7B,H100,1,3584,32,130.32,260.64,450.45,0.0,0.0,0.0,122.77470841006752,252.252
LLAMA2-7B,H100,1,3584,64,128.95,518.66,652.32,0.0,0.0,0.0,123.39490224810088,365.2992
LLAMA2-7B,H100,1,3584,128,127.28,1031.2,1187.0,0.0,0.0,0.0,124.12723041117144,664.72
LLAMA2-7B,H100,1,3584,256,127.7,2064.7,2198.2,0.0,0.0,0.0,123.9889572334964,1230.992
LLAMA2-7B,H100,1,3584,512,129.31,4124.5,4356.0,0.0,0.0,0.0,124.13625894047765,2439.36
LLAMA2-7B,H100,1,4064,32,146.16,261.08,411.47,0.0,0.0,0.0,122.56779531178184,230.4232
LLAMA2-7B,H100,2,32,32,32.747,290.9,390.94,0.0,0.0,0.0,220.00687521485048,218.9264
LLAMA2-7B,H100,2,32,64,41.998,504.7,551.03,0.0,0.0,0.0,253.61600951060035,308.5768
LLAMA2-7B,H100,2,32,128,41.589,1012.9,1059.4,0.0,0.0,0.0,252.73965840655544,593.264
LLAMA2-7B,H100,2,32,256,32.963,2036.7,2158.1,0.0,0.0,0.0,251.3870476751608,1208.536
LLAMA2-7B,H100,2,32,512,41.91,4044.1,4108.5,0.0,0.0,0.0,253.20837763655695,2300.76
LLAMA2-7B,H100,2,32,1024,41.856,476.65,528.71,0.0,0.0,0.0,4296.653729151369,296.0776
LLAMA2-7B,H100,2,32,2048,42.283,16345.0,16490.0,0.0,0.0,0.0,250.59651269501376,9234.4
LLAMA2-7B,H100,2,32,3584,41.745,28497.0,28577.0,0.0,0.0,0.0,251.5352493244903,16003.12
LLAMA2-7B,H100,2,32,4064,42.471,33508.0,33618.0,0.0,0.0,0.0,242.56893876089293,18826.08
LLAMA2-7B,H100,2,64,32,34.635,263.73,388.21,0.0,0.0,0.0,242.6724301368824,217.3976
LLAMA2-7B,H100,2,64,64,42.311,500.19,548.93,0.0,0.0,0.0,255.9027569523581,307.4008
LLAMA2-7B,H100,2,64,128,42.62,1009.1,1110.9,0.0,0.0,0.0,253.69140818551185,622.104
LLAMA2-7B,H100,2,64,256,42.263,2001.5,2089.0,0.0,0.0,0.0,255.80814389208092,1169.84
LLAMA2-7B,H100,2,64,512,43.67,3987.3,4094.2,0.0,0.0,0.0,256.8153888596293,2292.752
